idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp;no_voie;type_voie;voie;commune
000001;13/01/2025;280000.00;Appartement;83;93120;3;53;RUE;DE CREVECOEUR;LA COURNEUVE
000001;15/01/2025;130000.00;Appartement;49;93320;3;1;ALL;PAUL LAFARGUE;LES PAVILLONS-SOUS-BOIS
000001;16/01/2025;558000.00;Appartement;84;93400;4;40;RUE;PABLO PICASSO;SAINT-OUEN-SUR-SEINE
000001;21/01/2025;385000.00;Maison;110;93600;5;42;RUE;ROGER SALENGRO;AULNAY SOUS BOIS
000001;13/01/2025;609000.00;Maison;180;93110;8;8;RUE;EDOUARD BEAULIEU;ROSNY-SOUS-BOIS
000001;16/01/2025;290000.00;Maison;78;93600;4;11;SQ;MODIGLIANI;AULNAY SOUS BOIS
000001;10/01/2025;413300.00;Appartement;90;93200;2;5;RUE;DEZOBRY;SAINT-DENIS
000001;08/01/2025;180000.00;Appartement;56;93190;3;60;ALL;BAYARD;LIVRY-GARGAN
000001;07/01/2025;890000.00;Maison;89;93400;5;25;RUE;DU DOCTEUR BAUER;SAINT-OUEN-SUR-SEINE
000001;07/01/2025;187000.00;Appartement;72;93450;3;47;AV;JEAN JAURES;L'ILE-SAINT-DENIS
000001;07/01/2025;340000.00;Maison;111;93150;5;4;RUE;GROULARD;LE BLANC-MESNIL
000001;16/01/2025;240000.00;Appartement;41;93100;3;58;RUE;BEAUMARCHAIS;MONTREUIL
000001;13/01/2025;609000.00;Maison;72;93100;4;12;RUE;MARGUERITE YOURCENAR;MONTREUIL
000001;08/01/2025;625000.00;Appartement;60;93300;3;9;RUE;QUENTIN;AUBERVILLIERS
000001;08/01/2025;625000.00;Appartement;40;93300;2;9;RUE;QUENTIN;AUBERVILLIERS
000001;08/01/2025;625000.00;Appartement;90;93300;5;9;RUE;QUENTIN;AUBERVILLIERS
000001;08/01/2025;625000.00;Appartement;70;93300;3;9;RUE;QUENTIN;AUBERVILLIERS
000001;08/01/2025;625000.00;Maison;64;93300;3;9;RUE;QUENTIN;AUBERVILLIERS
000001;17/01/2025;300000.00;Maison;98;93420;4;221;CR;N 2 DIT CHEM DU LOUP;VILLEPINTE
000001;15/01/2025;241000.00;Maison;64;93190;3;22;ALL;JEAN LAZZARINI;LIVRY-GARGAN
000001;06/01/2025;302000.00;Appartement;103;93150;4;101;AV;DE LA REPUBLIQUE;LE BLANC-MESNIL
