idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp
000001;30/01/2024;265000.00;Appartement;52;93140;3
000001;12/01/2024;159400.00;Appartement;29;93300;2
000001;16/01/2024;405000.00;Maison;60;93130;3
000001;17/01/2024;210000.00;Appartement;50;93170;3
000001;16/01/2024;125000.00;Appartement;38;93250;2
000001;18/01/2024;157000.00;Appartement;68;93190;3
000001;18/01/2024;157000.00;Appartement;48;93190;2
000001;04/01/2024;302300.00;Appartement;111;93110;6
000001;10/01/2024;176000.00;Appartement;81;93380;4
000001;23/01/2024;60000.00;Appartement;83;93100;4
000001;19/01/2024;180000.00;Maison;50;93290;3
000001;25/01/2024;91000.00;Appartement;22;93310;1
000001;09/01/2024;231000.00;Appartement;69;93250;3
000001;25/01/2024;100000.00;Appartement;26;93000;2
000001;03/01/2024;148000.00;Appartement;40;93140;2
000001;26/01/2024;185400.00;Appartement;42;93260;2
000001;26/01/2024;185400.00;Appartement;42;93260;2
000001;18/01/2024;295000.00;Appartement;55;93500;3
000001;08/01/2024;300000.00;Maison;66;93380;4
000001;16/01/2024;160000.00;Appartement;54;93320;2
000001;23/01/2024;200000.00;Appartement;27;93260;2
000001;23/01/2024;165000.00;Appartement;70;93200;3
000001;19/01/2024;1355400.00;Maison;198;93340;5
000001;26/01/2024;322000.00;Maison;110;93410;4
000001;10/01/2024;303000.00;Appartement;103;93320;5
000001;19/01/2024;555000.00;Appartement;76;93400;4
000001;10/01/2024;195000.00;Appartement;96;93290;5
000001;11/01/2024;345000.00;Maison;90;93600;5
000001;18/01/2024;147500.00;Appartement;40;93320;2
000001;03/01/2024;310000.00;Maison;94;93250;4
000001;26/01/2024;420000.00;Appartement;53;93400;4
000001;24/01/2024;300000.00;Appartement;65;93220;3
000001;12/01/2024;302840.00;Appartement;70;93160;3
000001;26/01/2024;280000.00;Maison;68;93140;4
000001;09/01/2024;572800.00;Maison;150;93270;9
000001;29/01/2024;104000.00;Appartement;50;93270;2
000001;16/01/2024;164000.00;Appartement;42;93800;2
000001;24/01/2024;123500.00;Appartement;40;93390;2
000001;25/01/2024;643450.00;Maison;90;93110;5
000001;25/01/2024;275000.00;Maison;78;93600;4
000001;25/01/2024;202000.00;Maison;45;93700;2
000001;05/01/2024;221500.00;Appartement;72;93190;3
000001;25/01/2024;400775.00;Appartement;87;93300;4
000001;25/01/2024;297400.00;Appartement;55;93230;2
000001;05/01/2024;200000.00;Maison;60;93190;2
000001;26/01/2024;60000.00;Appartement;27;93140;1
000001;23/01/2024;60000.00;Appartement;16;93320;1
000001;25/01/2024;221000.00;Appartement;48;93230;2
000001;24/01/2024;227000.00;Appartement;69;93220;3
000001;26/01/2024;276980.00;Appartement;63;93130;3
000001;24/01/2024;160000.00;Appartement;38;93000;2
000001;04/01/2024;245000.00;Maison;50;93200;3
000001;23/01/2024;317000.00;Maison;125;93140;5
000001;24/01/2024;257000.00;Maison;68;93370;4
000001;23/01/2024;147000.00;Appartement;62;93380;3
000001;23/01/2024;220000.00;Appartement;78;93120;4
000001;23/01/2024;115000.00;Appartement;34;93220;2
000001;15/01/2024;318600.00;Appartement;82;93320;4
000001;15/01/2024;217000.00;Appartement;66;93410;3
000001;17/01/2024;288000.00;Appartement;53;93310;3
000001;31/01/2024;415581.00;Appartement;70;93260;3
000001;25/01/2024;93550.00;Appartement;18;93340;1
000001;26/01/2024;187900.00;Appartement;64;93360;4
000001;26/01/2024;723000.00;Appartement;99;93400;5
000001;24/01/2024;591550.00;Maison;147;93800;5
000001;22/01/2024;680000.00;Maison;80;93230;3
000001;26/01/2024;240600.00;Appartement;87;93240;4
000001;29/01/2024;400000.00;Appartement;35;93160;2
000001;29/01/2024;400000.00;Appartement;50;93160;2
000001;18/01/2024;287000.00;Maison;48;93380;3
000001;18/01/2024;287000.00;Maison;32;93380;2
000001;22/01/2024;140000.00;Appartement;52;93120;3
000001;23/01/2024;475000.00;Maison;71;93330;3
000001;30/01/2024;133000.00;Appartement;25;93110;1
000001;19/01/2024;485850.00;Maison;64;93100;3
000001;24/01/2024;164000.00;Appartement;68;93380;3
000001;30/01/2024;329000.00;Maison;62;93300;4
000001;24/01/2024;372700.00;Appartement;63;93200;3
000001;15/01/2024;182100.00;Appartement;46;93200;2
000001;24/01/2024;160000.00;Appartement;70;93300;3
000001;31/01/2024;180450.00;Appartement;27;93230;1
000001;30/01/2024;132000.00;Appartement;64;93190;3
000001;26/01/2024;600000.00;Appartement;180;93600;4
000001;25/01/2024;220000.00;Appartement;42;93110;3
000001;26/01/2024;258000.00;Appartement;65;93600;3
000001;18/01/2024;285000.00;Maison;72;93290;4
000001;19/01/2024;118000.00;Appartement;21;93500;1
000001;25/01/2024;264950.00;Appartement;41;93260;2
000001;31/01/2024;165000.00;Appartement;57;93270;3
000001;11/01/2024;359000.00;Maison;108;93220;3
000001;31/01/2024;150000.00;Appartement;40;93700;2
000001;23/01/2024;335000.00;Maison;71;93150;3
000001;24/01/2024;407000.00;Maison;81;93190;6
000001;15/01/2024;286000.00;Maison;48;93700;3
000001;25/01/2024;190000.00;Appartement;26;93100;1
000001;31/01/2024;160000.00;Appartement;46;93110;2
000001;29/01/2024;241500.00;Appartement;54;93320;3
000001;18/01/2024;350000.00;Maison;69;93420;5
000001;03/01/2024;108000.00;Appartement;46;93220;2
000001;31/01/2024;132000.00;Appartement;31;93110;2
000001;12/01/2024;578000.00;Appartement;90;93160;4
000001;25/01/2024;213690.00;Appartement;74;93500;4
000001;15/01/2024;210000.00;Appartement;14;93160;1
000001;15/01/2024;210000.00;Appartement;34;93160;1
000001;15/01/2024;210000.00;Appartement;16;93160;1
000001;29/01/2024;275000.00;Maison;88;93320;4
000001;11/01/2024;200725.00;Appartement;60;93160;3
000001;30/01/2024;203074.45;Appartement;46;93700;2
000001;10/01/2024;197500.00;Appartement;45;93360;2
000001;11/01/2024;163000.00;Appartement;62;93220;3
000001;30/01/2024;1.00;Appartement;62;93200;3
000001;04/01/2024;510000.00;Appartement;74;93100;3
000001;25/01/2024;240000.00;Appartement;47;93400;3
000001;26/01/2024;273000.00;Maison;93;93700;5
000001;26/01/2024;180000.00;Appartement;64;93150;3
000001;29/01/2024;180000.00;Appartement;30;93220;1
000001;11/01/2024;177000.00;Appartement;70;93200;4
000001;30/01/2024;577050.00;Maison;190;93600;6
000001;11/01/2024;285000.00;Appartement;57;93160;3
